# Sensor type: Thingy
# Activity type: Sitting bent forward
# Activity code: 4
# Subject id: s1912575
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1664371502819,-0.8847656,0.033203125,0.47851562,-1.03125,6.125,-3.90625,0.0,0.0,0.0
1664371502848,-0.8730469,0.06542969,0.4423828,-2.25,1.71875,-2.8125,0.0,0.0,0.0
1664371502908,-0.8544922,0.021484375,0.46875,-1.28125,2.34375,4.03125,0.0,0.0,0.0
1664371502940,-0.8798828,0.029296875,0.48535156,-2.5625,4.71875,2.09375,0.0,0.0,0.0
1664371502970,-0.87109375,0.040039062,0.47070312,-3.0,8.03125,6.09375,0.0,0.0,0.0
1664371503029,-0.9160156,0.10644531,0.42089844,-1.65625,9.0,7.34375,0.0,0.0,0.0
1664371503060,-0.8798828,0.059570312,0.4013672,1.53125,10.40625,8.5,-49.375,12.5,-114.5
1664371503090,-0.8769531,0.037109375,0.45117188,6.65625,15.71875,7.15625,0.0,0.0,0.0
1664371503149,-0.88378906,0.0546875,0.421875,8.59375,14.96875,5.375,0.0,0.0,0.0
1664371503180,-0.89160156,0.06738281,0.40527344,9.625,12.21875,10.3125,0.0,0.0,0.0
1664371503210,-0.8876953,0.08886719,0.40625,10.0625,12.28125,18.4375,0.0,0.0,0.0
1664371503269,-0.90722656,0.099609375,0.4033203,12.09375,6.6875,17.8125,0.0,0.0,0.0
1664371503298,-0.89941406,0.115234375,0.421875,12.375,5.40625,17.875,0.0,0.0,0.0
1664371503330,-0.8984375,0.11035156,0.4033203,14.15625,6.90625,15.25,0.0,0.0,0.0
1664371503389,-0.91015625,0.16210938,0.3857422,15.1875,7.53125,11.34375,0.0,0.0,0.0
1664371503420,-0.90625,0.171875,0.3564453,14.65625,11.4375,12.21875,0.0,0.0,0.0
1664371503450,-0.91015625,0.17382812,0.3515625,11.28125,10.8125,12.34375,0.0,0.0,0.0
1664371503509,-0.9267578,0.23828125,0.3408203,9.5625,10.28125,10.375,0.0,0.0,0.0
1664371503539,-0.9160156,0.23339844,0.328125,6.09375,8.25,9.15625,0.0,0.0,0.0
1664371503599,-0.8886719,0.20410156,0.3310547,4.6875,8.75,9.34375,-50.6875,18.1875,-120.0625
