# Sensor type: Thingy
# Activity type: Sitting bent backward
# Activity code: 5
# Subject id: s1912575
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1664371639230,-0.63183594,-0.41015625,0.64453125,0.21875,0.0,-0.34375,0.0,0.0,0.0
1664371639257,-0.63183594,-0.41503906,0.6425781,0.125,0.0,-0.21875,0.0,0.0,0.0
1664371639318,-0.6279297,-0.42089844,0.640625,0.0625,0.0,-0.34375,0.0,0.0,0.0
1664371639349,-0.63378906,-0.41015625,0.640625,0.1875,0.0625,-0.40625,0.0,0.0,0.0
1664371639380,-0.6230469,-0.41015625,0.64941406,0.1875,-0.0625,-0.28125,0.0,0.0,0.0
1664371639439,-0.6376953,-0.42089844,0.6464844,0.0,-0.1875,-0.09375,0.0,0.0,0.0
1664371639469,-0.62597656,-0.40722656,0.63964844,0.125,0.0625,-0.15625,0.0,0.0,0.0
1664371639499,-0.6269531,-0.4091797,0.63964844,0.0,0.125,-0.34375,0.0,0.0,0.0
1664371639559,-0.6201172,-0.4169922,0.6347656,-0.0625,-0.125,-0.21875,0.0,0.0,0.0
1664371639589,-0.63671875,-0.41796875,0.6542969,0.0625,0.1875,0.03125,-40.5,-4.9375,-105.625
1664371639619,-0.6220703,-0.4091797,0.62890625,-0.1875,-0.21875,-0.09375,0.0,0.0,0.0
1664371639681,-0.6298828,-0.40722656,0.63964844,0.0625,0.0,-0.34375,0.0,0.0,0.0
1664371639709,-0.62597656,-0.41308594,0.64941406,-0.0625,-0.0625,-0.21875,0.0,0.0,0.0
1664371639740,-0.6279297,-0.4169922,0.64941406,0.21875,-0.34375,0.15625,0.0,0.0,0.0
1664371639801,-0.6279297,-0.41308594,0.6376953,0.0,-0.28125,0.15625,0.0,0.0,0.0
1664371639830,-0.625,-0.42089844,0.6503906,-0.125,-0.21875,0.09375,0.0,0.0,0.0
1664371639859,-0.6298828,-0.41308594,0.63964844,0.0,-0.0625,0.15625,0.0,0.0,0.0
1664371639920,-0.6347656,-0.40527344,0.63671875,-0.1875,-0.1875,0.28125,0.0,0.0,0.0
1664371639953,-0.6357422,-0.40625,0.6503906,-0.5,0.0625,-0.03125,0.0,0.0,0.0
1664371639980,-0.63378906,-0.42089844,0.62890625,-0.375,0.0,-0.09375,0.0,0.0,0.0
1664371640042,-0.6357422,-0.41503906,0.63378906,-0.375,-0.0625,-0.15625,0.0,0.0,0.0
1664371640070,-0.63183594,-0.41601562,0.6455078,0.0,-0.28125,-0.34375,-41.375,-4.75,-105.5
1664371640099,-0.6269531,-0.4189453,0.6435547,0.125,0.25,-0.21875,0.0,0.0,0.0
1664371640159,-0.6425781,-0.42578125,0.6435547,0.0625,-0.28125,-0.21875,0.0,0.0,0.0
1664371640190,-0.6357422,-0.4140625,0.6455078,0.1875,0.125,0.15625,0.0,0.0,0.0
1664371640219,-0.6279297,-0.40625,0.6669922,0.21875,-0.0625,-0.03125,0.0,0.0,0.0
1664371640282,-0.625,-0.41210938,0.6435547,0.0,-0.0625,-0.28125,0.0,0.0,0.0
1664371640310,-0.6269531,-0.4091797,0.6455078,-0.375,-0.125,-0.28125,0.0,0.0,0.0
1664371640340,-0.6279297,-0.41308594,0.6455078,0.125,-0.1875,0.15625,0.0,0.0,0.0
