# Sensor type: Thingy
# Activity type: Standing
# Activity code: 100
# Subject id: s1912575
# Notes: 
timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
1664371687502,-0.9501953,0.31640625,-0.15039062,-0.875,-3.21875,-2.3125,0.0,0.0,0.0
1664371687529,-0.94628906,0.32226562,-0.16015625,0.28125,-3.8125,-3.46875,0.0,0.0,0.0
1664371687560,-0.9423828,0.3173828,-0.17089844,-0.03125,-1.75,-3.28125,-55.0625,26.125,-148.6875
1664371687622,-0.9423828,0.30078125,-0.16699219,0.03125,-0.40625,-0.71875,0.0,0.0,0.0
1664371687651,-0.9472656,0.3125,-0.17285156,1.75,0.15625,0.5,0.0,0.0,0.0
1664371687680,-0.95703125,0.3173828,-0.17871094,-0.15625,1.1875,0.5,0.0,0.0,0.0
1664371687741,-0.95410156,0.3173828,-0.17578125,-1.8125,1.125,0.25,0.0,0.0,0.0
1664371687772,-0.95410156,0.29785156,-0.16308594,-2.96875,1.4375,-0.34375,0.0,0.0,0.0
1664371687800,-0.9501953,0.3017578,-0.16992188,-0.40625,-0.46875,0.75,0.0,0.0,0.0
1664371687860,-0.9472656,0.32128906,-0.16308594,-0.9375,-0.96875,0.5625,0.0,0.0,0.0
1664371687889,-0.94628906,0.32226562,-0.1484375,-1.9375,0.625,-0.46875,0.0,0.0,0.0
1664371687920,-0.94140625,0.30371094,-0.17285156,-1.6875,0.875,-1.15625,0.0,0.0,0.0
1664371687981,-0.9550781,0.2919922,-0.16503906,-1.125,0.75,-0.90625,0.0,0.0,0.0
1664371688009,-0.9511719,0.3046875,-0.15917969,-0.21875,1.53125,-0.25,0.0,0.0,0.0
1664371688039,-0.95996094,0.3251953,-0.18457031,-0.65625,1.96875,0.125,-57.4375,24.5,-148.125
1664371688100,-0.9453125,0.30371094,-0.17773438,-2.21875,0.875,-0.34375,0.0,0.0,0.0
1664371688129,-0.9560547,0.29101562,-0.17382812,-1.9375,-0.21875,-1.40625,0.0,0.0,0.0
1664371688158,-0.9453125,0.28515625,-0.17675781,-0.9375,-0.40625,-1.21875,0.0,0.0,0.0
1664371688219,-0.9550781,0.3076172,-0.16894531,0.15625,-0.71875,-0.0625,0.0,0.0,0.0
1664371688250,-0.9589844,0.30273438,-0.16699219,0.8125,-1.15625,0.0,0.0,0.0,0.0
1664371688278,-0.9472656,0.2998047,-0.16601562,1.0,-1.375,-0.96875,0.0,0.0,0.0
1664371688338,-0.95996094,0.3095703,-0.15039062,0.5,-0.53125,-1.15625,0.0,0.0,0.0
1664371688367,-0.94628906,0.31640625,-0.16503906,-0.34375,-0.78125,-0.1875,0.0,0.0,0.0
1664371688397,-0.95214844,0.29492188,-0.15917969,-0.9375,0.03125,-0.125,0.0,0.0,0.0
1664371688458,-0.94433594,0.31054688,-0.15429688,-0.875,0.15625,0.1875,0.0,0.0,0.0
1664371688488,-0.9472656,0.31347656,-0.17089844,-1.8125,0.3125,-0.0625,0.0,0.0,0.0
1664371688518,-0.94921875,0.3095703,-0.16113281,-1.9375,0.15625,-0.71875,0.0,0.0,0.0
1664371688580,-0.9628906,0.296875,-0.15429688,-1.9375,-0.53125,-0.46875,-56.25,24.1875,-148.875
1664371688612,-0.95214844,0.29589844,-0.16601562,-1.6875,-0.65625,-0.71875,0.0,0.0,0.0
1664371688638,-0.9638672,0.296875,-0.15625,-0.875,-0.59375,-0.84375,0.0,0.0,0.0
1664371688699,-0.9580078,0.296875,-0.16992188,-0.28125,-0.84375,-0.78125,0.0,0.0,0.0
1664371688729,-0.95703125,0.29296875,-0.16308594,-0.28125,-1.1875,-0.71875,0.0,0.0,0.0
1664371688758,-0.953125,0.3095703,-0.16210938,0.34375,-0.71875,-0.46875,0.0,0.0,0.0
1664371688818,-0.94433594,0.31445312,-0.16796875,-0.15625,-0.96875,-0.46875,0.0,0.0,0.0
1664371688847,-0.95214844,0.2939453,-0.16308594,-0.40625,-1.03125,-0.90625,0.0,0.0,0.0
1664371688878,-0.94921875,0.3046875,-0.16601562,0.46875,-1.375,-0.96875,0.0,0.0,0.0
1664371688942,-0.9580078,0.30273438,-0.15234375,0.21875,-1.1875,-0.78125,0.0,0.0,0.0
1664371688967,-0.9560547,0.30273438,-0.15429688,-0.34375,-1.1875,-1.28125,0.0,0.0,0.0
1664371689001,-0.9609375,0.30273438,-0.15039062,-0.40625,-1.5,-1.75,0.0,0.0,0.0
1664371689091,-0.9560547,0.29003906,-0.17089844,-0.03125,-1.875,-2.125,0.0,0.0,0.0
1664371689094,-0.95410156,0.30566406,-0.16992188,0.9375,-1.8125,-1.6875,-56.875,23.875,-147.9375
1664371689119,-0.94433594,0.30371094,-0.16308594,0.875,-1.8125,-1.8125,0.0,0.0,0.0
1664371689178,-0.95703125,0.30273438,-0.15429688,0.40625,-1.8125,-1.9375,0.0,0.0,0.0
1664371689210,-0.9550781,0.3017578,-0.13769531,0.15625,-1.9375,-1.875,0.0,0.0,0.0
1664371689238,-0.9638672,0.30078125,-0.140625,-0.71875,-0.71875,-1.65625,0.0,0.0,0.0
1664371689297,-0.9589844,0.28710938,-0.13671875,-0.34375,-0.90625,-1.21875,0.0,0.0,0.0
1664371689328,-0.9589844,0.29003906,-0.15136719,-0.09375,-0.96875,-0.78125,0.0,0.0,0.0
1664371689361,-0.9628906,0.2861328,-0.15625,-0.03125,-1.09375,-0.90625,0.0,0.0,0.0
1664371689417,-0.9628906,0.29101562,-0.15039062,-0.40625,-0.96875,-1.34375,0.0,0.0,0.0
1664371689447,-0.9560547,0.2919922,-0.15234375,-0.03125,-1.1875,-1.9375,0.0,0.0,0.0
1664371689478,-0.9609375,0.2841797,-0.12988281,-0.84375,-1.25,-2.125,0.0,0.0,0.0
1664371689539,-0.953125,0.28808594,-0.14257812,-1.375,-1.25,-2.5,0.0,0.0,0.0
1664371689567,-0.9580078,0.2783203,-0.12988281,-1.375,-1.03125,-2.125,-56.875,22.8125,-146.875
1664371689598,-0.9707031,0.28515625,-0.14160156,-1.0,-1.15625,-1.53125,0.0,0.0,0.0
1664371689657,-0.9501953,0.28808594,-0.14453125,-1.875,-0.78125,-1.53125,0.0,0.0,0.0
1664371689690,-0.9550781,0.27246094,-0.140625,-1.0625,-1.4375,-2.25,0.0,0.0,0.0
1664371689718,-0.9658203,0.28515625,-0.12695312,-0.15625,-1.4375,-2.1875,0.0,0.0,0.0
1664371689778,-0.95703125,0.28222656,-0.13183594,0.15625,-1.03125,-2.0,0.0,0.0,0.0
1664371689807,-0.95996094,0.2861328,-0.12988281,-0.53125,-0.84375,-1.40625,0.0,0.0,0.0
1664371689839,-0.9638672,0.28515625,-0.14355469,-0.78125,-0.34375,-0.84375,0.0,0.0,0.0
1664371689897,-0.9658203,0.28222656,-0.14355469,-1.0,-0.09375,-0.46875,0.0,0.0,0.0
1664371689927,-0.96191406,0.2841797,-0.13476562,-1.5,0.375,-0.71875,0.0,0.0,0.0
1664371689957,-0.9638672,0.28027344,-0.12890625,-1.0625,-0.34375,-0.84375,0.0,0.0,0.0
1664371690020,-0.9580078,0.2763672,-0.13574219,-1.8125,0.03125,-1.28125,0.0,0.0,0.0
1664371690047,-0.9716797,0.27246094,-0.12792969,-1.0625,0.25,-1.28125,0.0,0.0,0.0
1664371690077,-0.9707031,0.2685547,-0.119140625,-1.5,0.25,-0.53125,-58.0625,25.25,-147.1875
1664371690137,-0.9658203,0.265625,-0.12402344,-1.125,0.4375,-0.125,0.0,0.0,0.0
1664371690168,-0.97265625,0.27929688,-0.13867188,-0.84375,0.3125,-0.1875,0.0,0.0,0.0
1664371690197,-0.96972656,0.27441406,-0.12695312,-1.0,0.09375,-0.0625,0.0,0.0,0.0
1664371690257,-0.9580078,0.26464844,-0.13867188,-0.21875,0.375,-0.125,0.0,0.0,0.0
1664371690287,-0.9589844,0.2685547,-0.13671875,0.21875,0.375,0.5,0.0,0.0,0.0
1664371690318,-0.9628906,0.2685547,-0.13574219,0.46875,0.4375,0.625,0.0,0.0,0.0
1664371690378,-0.9638672,0.27148438,-0.13769531,0.9375,0.5625,0.8125,0.0,0.0,0.0
1664371690407,-0.9638672,0.2705078,-0.13183594,0.46875,0.5625,0.75,0.0,0.0,0.0
1664371690438,-0.9628906,0.28222656,-0.12695312,0.46875,0.6875,0.875,0.0,0.0,0.0
1664371690498,-0.9658203,0.28222656,-0.13574219,0.34375,0.75,0.96875,0.0,0.0,0.0
1664371690527,-0.96777344,0.2841797,-0.13574219,0.75,0.5,0.6875,0.0,0.0,0.0
1664371690557,-0.9628906,0.2783203,-0.140625,0.46875,0.3125,0.75,-58.0625,23.75,-148.125
1664371690621,-0.9628906,0.28320312,-0.13671875,0.46875,0.4375,0.375,0.0,0.0,0.0
1664371690650,-0.95996094,0.28710938,-0.14160156,1.0,0.15625,0.75,0.0,0.0,0.0
1664371690680,-0.95996094,0.28027344,-0.13769531,0.40625,0.375,0.6875,0.0,0.0,0.0
1664371690740,-0.96972656,0.29003906,-0.14160156,0.15625,0.3125,0.5,0.0,0.0,0.0
1664371690769,-0.953125,0.28222656,-0.12792969,0.09375,0.03125,0.5625,0.0,0.0,0.0
1664371690798,-0.95410156,0.28222656,-0.13671875,-0.15625,0.4375,0.4375,0.0,0.0,0.0
1664371690861,-0.9609375,0.29492188,-0.14746094,-0.03125,0.15625,0.1875,0.0,0.0,0.0
1664371690889,-0.95996094,0.28808594,-0.13964844,-0.15625,0.15625,0.125,0.0,0.0,0.0
1664371690919,-0.9638672,0.28515625,-0.13671875,0.03125,0.09375,0.1875,0.0,0.0,0.0
1664371690981,-0.9580078,0.28515625,-0.13867188,0.03125,0.1875,0.375,0.0,0.0,0.0
1664371691013,-0.9580078,0.2861328,-0.1328125,0.03125,0.4375,0.6875,0.0,0.0,0.0
1664371691039,-0.9580078,0.28320312,-0.12695312,-0.09375,0.3125,0.9375,0.0,0.0,0.0
1664371691100,-0.9638672,0.2919922,-0.12109375,-0.09375,0.375,0.9375,-55.8125,24.3125,-147.625
1664371691131,-0.9658203,0.2861328,-0.15039062,-0.09375,0.6875,1.21875,0.0,0.0,0.0
1664371691160,-0.9628906,0.28808594,-0.14257812,-0.09375,1.0,1.34375,0.0,0.0,0.0
1664371691221,-0.9609375,0.2939453,-0.13769531,-0.03125,0.5625,1.15625,0.0,0.0,0.0
1664371691250,-0.96191406,0.29589844,-0.12792969,-1.0625,0.75,0.625,0.0,0.0,0.0
1664371691280,-0.953125,0.28222656,-0.14648438,-1.5625,0.8125,0.5625,0.0,0.0,0.0
1664371691371,-0.96484375,0.2939453,-0.13671875,-0.59375,0.5625,0.375,0.0,0.0,0.0
1664371691373,-0.9560547,0.29296875,-0.15136719,0.03125,0.375,0.125,0.0,0.0,0.0
1664371691400,-0.9609375,0.2939453,-0.14160156,0.5,0.375,0.0,0.0,0.0,0.0
1664371691461,-0.9580078,0.3017578,-0.140625,0.8125,0.1875,0.0625,0.0,0.0,0.0
1664371691491,-0.9560547,0.29882812,-0.14648438,0.40625,0.375,0.0,0.0,0.0,0.0
1664371691519,-0.95703125,0.29589844,-0.14648438,0.28125,0.4375,0.0625,0.0,0.0,0.0
1664371691579,-0.9560547,0.2890625,-0.15234375,0.5,0.03125,0.25,-57.75,25.25,-147.1875
1664371691610,-0.9609375,0.29296875,-0.15527344,0.46875,0.1875,-0.1875,0.0,0.0,0.0
1664371691640,-0.9589844,0.296875,-0.15527344,0.5,-0.09375,-0.40625,0.0,0.0,0.0
1664371691699,-0.9580078,0.29785156,-0.1484375,0.5625,0.03125,-0.40625,0.0,0.0,0.0
1664371691730,-0.95703125,0.3046875,-0.15234375,0.5625,-0.03125,-0.0625,0.0,0.0,0.0
1664371691760,-0.95996094,0.28808594,-0.13183594,0.28125,0.15625,-0.3125,0.0,0.0,0.0
1664371691819,-0.953125,0.29101562,-0.15136719,0.28125,-0.28125,-0.71875,0.0,0.0,0.0
1664371691851,-0.9580078,0.2890625,-0.13964844,-0.15625,0.09375,-0.71875,0.0,0.0,0.0
1664371691879,-0.96875,0.28027344,-0.14355469,-0.03125,-0.09375,-0.46875,0.0,0.0,0.0
1664371691939,-0.96484375,0.28808594,-0.14257812,0.09375,0.03125,-0.59375,0.0,0.0,0.0
1664371691971,-0.9658203,0.29003906,-0.12792969,0.15625,0.15625,-0.0625,0.0,0.0,0.0
1664371691999,-0.9658203,0.2939453,-0.15429688,0.15625,0.15625,-0.3125,0.0,0.0,0.0
1664371692059,-0.9589844,0.29589844,-0.14746094,0.5,0.25,-0.46875,0.0,0.0,0.0
1664371692091,-0.9560547,0.2919922,-0.14355469,0.34375,0.1875,-0.1875,-57.0,24.8125,-147.5
1664371692120,-0.9511719,0.29492188,-0.14160156,0.5,0.5,-0.0625,0.0,0.0,0.0
1664371692180,-0.9589844,0.29589844,-0.13769531,0.34375,0.625,0.125,0.0,0.0,0.0
1664371692210,-0.95703125,0.2939453,-0.14453125,0.40625,0.875,0.5,0.0,0.0,0.0
1664371692240,-0.9550781,0.30078125,-0.14648438,-0.09375,0.6875,0.375,0.0,0.0,0.0
1664371692299,-0.9580078,0.29296875,-0.15234375,0.15625,1.0625,0.125,0.0,0.0,0.0
1664371692330,-0.96191406,0.29589844,-0.14746094,-0.21875,0.875,0.375,0.0,0.0,0.0
1664371692362,-0.9560547,0.29296875,-0.13378906,-1.375,1.65625,0.0,0.0,0.0,0.0
1664371692420,-0.95703125,0.3046875,-0.14648438,-1.625,2.75,-0.25,0.0,0.0,0.0
1664371692449,-0.95703125,0.29101562,-0.15625,-2.15625,1.71875,0.8125,0.0,0.0,0.0
1664371692479,-0.953125,0.3017578,-0.14746094,-2.34375,1.65625,0.375,0.0,0.0,0.0
1664371692538,-0.96191406,0.2890625,-0.16699219,-2.15625,1.25,0.125,0.0,0.0,0.0
1664371692567,-0.9638672,0.29003906,-0.14453125,-0.9375,0.625,0.1875,-57.875,25.0625,-148.375
1664371692598,-0.9580078,0.28808594,-0.15039062,-0.09375,0.375,0.0,0.0,0.0,0.0
1664371692658,-0.9560547,0.2998047,-0.15136719,0.03125,0.375,-0.1875,0.0,0.0,0.0
1664371692690,-0.9628906,0.2998047,-0.15039062,-0.84375,1.0,0.0625,0.0,0.0,0.0
1664371692720,-0.9580078,0.2998047,-0.15722656,0.03125,0.6875,0.5625,0.0,0.0,0.0
1664371692779,-0.9589844,0.30078125,-0.14941406,-0.84375,0.6875,0.25,0.0,0.0,0.0
1664371692810,-0.9550781,0.2998047,-0.14746094,-1.125,0.3125,0.0,0.0,0.0,0.0
1664371692840,-0.95410156,0.29101562,-0.14355469,0.28125,0.1875,-0.25,0.0,0.0,0.0
1664371692901,-0.9472656,0.30371094,-0.14648438,0.625,0.1875,0.125,0.0,0.0,0.0
1664371692930,-0.9589844,0.29785156,-0.14550781,0.09375,0.03125,0.125,0.0,0.0,0.0
1664371692960,-0.94921875,0.30371094,-0.14257812,0.21875,0.15625,0.0625,0.0,0.0,0.0
1664371693020,-0.9560547,0.30371094,-0.15722656,-0.03125,-0.03125,-0.0625,0.0,0.0,0.0
1664371693049,-0.9472656,0.3095703,-0.14257812,-0.40625,0.09375,-0.125,0.0,0.0,0.0
1664371693080,-0.9550781,0.29296875,-0.15429688,-0.28125,0.15625,0.0,-57.4375,24.1875,-146.4375
1664371693139,-0.95703125,0.29785156,-0.15039062,-0.34375,-0.03125,0.0,0.0,0.0,0.0
1664371693170,-0.9628906,0.30371094,-0.1640625,0.03125,-0.34375,-0.0625,0.0,0.0,0.0
1664371693199,-0.94921875,0.2998047,-0.14550781,-0.34375,-0.03125,-0.34375,0.0,0.0,0.0
1664371693260,-0.9667969,0.29003906,-0.16796875,0.40625,-0.28125,-0.40625,0.0,0.0,0.0
1664371693290,-0.9511719,0.3154297,-0.14550781,0.21875,-0.34375,-0.40625,0.0,0.0,0.0
1664371693319,-0.9560547,0.29296875,-0.15429688,0.5,-0.21875,-0.1875,0.0,0.0,0.0
1664371693381,-0.953125,0.29882812,-0.16796875,0.875,-0.09375,-0.0625,0.0,0.0,0.0
1664371693409,-0.95410156,0.29003906,-0.13671875,1.125,-0.40625,-0.40625,0.0,0.0,0.0
1664371693439,-0.9511719,0.30371094,-0.13574219,1.6875,-0.84375,-0.40625,0.0,0.0,0.0
1664371693500,-0.9550781,0.29589844,-0.14941406,1.25,-0.46875,-0.34375,0.0,0.0,0.0
1664371693531,-0.9628906,0.3017578,-0.15234375,1.1875,-0.21875,-0.46875,0.0,0.0,0.0
1664371693559,-0.9628906,0.3046875,-0.14453125,1.125,-0.34375,-0.46875,-57.125,26.125,-149.3125
1664371693652,-0.953125,0.296875,-0.14550781,0.46875,-0.34375,-0.84375,0.0,0.0,0.0
1664371693655,-0.95410156,0.2919922,-0.15527344,0.34375,-0.09375,-0.84375,0.0,0.0,0.0
1664371693679,-0.9589844,0.2841797,-0.15429688,0.21875,-0.15625,-0.71875,0.0,0.0,0.0
1664371693739,-0.96191406,0.2919922,-0.15527344,-0.46875,0.15625,-0.71875,0.0,0.0,0.0
1664371693770,-0.9628906,0.29589844,-0.15234375,-0.59375,0.4375,-0.25,0.0,0.0,0.0
1664371693799,-0.9609375,0.2998047,-0.14746094,-0.46875,0.375,-0.34375,0.0,0.0,0.0
1664371693860,-0.96972656,0.296875,-0.14746094,-0.46875,0.15625,-0.1875,0.0,0.0,0.0
1664371693890,-0.9580078,0.29589844,-0.13671875,-0.40625,-0.03125,-0.25,0.0,0.0,0.0
1664371693919,-0.9482422,0.29589844,-0.15136719,-0.46875,0.1875,-0.3125,0.0,0.0,0.0
1664371693981,-0.95703125,0.29296875,-0.15234375,-0.59375,0.25,0.3125,0.0,0.0,0.0
1664371694010,-0.94628906,0.29492188,-0.15039062,-0.28125,-0.03125,0.4375,0.0,0.0,0.0
1664371694040,-0.953125,0.29492188,-0.15722656,-0.21875,-0.03125,0.3125,0.0,0.0,0.0
1664371694101,-0.953125,0.29003906,-0.15917969,0.46875,0.03125,0.0,-57.625,24.3125,-147.625
1664371694132,-0.9550781,0.30273438,-0.14550781,0.8125,-0.03125,0.5625,0.0,0.0,0.0
1664371694160,-0.9589844,0.29589844,-0.13867188,0.28125,-0.03125,0.0625,0.0,0.0,0.0
1664371694222,-0.9550781,0.29101562,-0.14941406,0.75,0.09375,0.0,0.0,0.0,0.0
1664371694249,-0.9511719,0.29785156,-0.14355469,1.0625,-0.21875,0.125,0.0,0.0,0.0
1664371694280,-0.9501953,0.29296875,-0.14257812,1.25,-0.15625,0.3125,0.0,0.0,0.0
1664371694340,-0.9560547,0.30273438,-0.14257812,1.4375,-0.21875,0.0,0.0,0.0,0.0
1664371694370,-0.95703125,0.30371094,-0.14746094,1.375,0.09375,-0.1875,0.0,0.0,0.0
1664371694402,-0.95996094,0.3095703,-0.15332031,1.4375,-0.03125,0.3125,0.0,0.0,0.0
1664371694460,-0.95214844,0.30566406,-0.14941406,0.875,-0.15625,0.125,0.0,0.0,0.0
1664371694490,-0.9550781,0.3017578,-0.14453125,0.03125,0.1875,0.0,0.0,0.0,0.0
1664371694520,-0.94628906,0.30078125,-0.15527344,0.40625,0.1875,0.0625,0.0,0.0,0.0
1664371694580,-0.953125,0.296875,-0.15429688,0.15625,0.25,-0.125,-56.25,24.5,-148.875
1664371694611,-0.95703125,0.29003906,-0.14746094,0.28125,0.375,-0.3125,0.0,0.0,0.0
1664371694641,-0.9589844,0.2861328,-0.15527344,0.9375,-0.15625,-0.0625,0.0,0.0,0.0
1664371694699,-0.94628906,0.3017578,-0.14648438,0.8125,-0.15625,-0.25,0.0,0.0,0.0
1664371694732,-0.9501953,0.30273438,-0.14746094,0.625,0.03125,-0.125,0.0,0.0,0.0
1664371694765,-0.9501953,0.30078125,-0.15429688,0.6875,-0.34375,0.0,0.0,0.0,0.0
1664371694820,-0.9560547,0.2998047,-0.14746094,0.09375,0.5625,0.0,0.0,0.0,0.0
1664371694850,-0.9550781,0.30078125,-0.13964844,-0.03125,0.1875,0.1875,0.0,0.0,0.0
1664371694880,-0.9482422,0.30273438,-0.15917969,0.03125,0.09375,-0.1875,0.0,0.0,0.0
1664371694938,-0.9560547,0.296875,-0.13671875,-0.46875,0.375,0.0,0.0,0.0,0.0
1664371694970,-0.9501953,0.2939453,-0.15917969,-0.15625,-0.09375,0.0625,0.0,0.0,0.0
1664371694999,-0.9550781,0.30078125,-0.14746094,-0.40625,0.5,0.0,0.0,0.0,0.0
1664371695058,-0.9560547,0.30078125,-0.15332031,-0.46875,0.1875,0.3125,0.0,0.0,0.0
1664371695091,-0.95410156,0.29492188,-0.16113281,-0.03125,0.15625,-0.0625,-56.875,24.625,-148.375
1664371695121,-0.95703125,0.3017578,-0.14550781,0.21875,0.375,0.125,0.0,0.0,0.0
1664371695182,-0.94628906,0.296875,-0.14355469,-0.03125,-0.03125,0.0625,0.0,0.0,0.0
1664371695209,-0.9472656,0.296875,-0.16308594,0.09375,0.375,0.125,0.0,0.0,0.0
1664371695239,-0.9501953,0.29589844,-0.15039062,0.09375,0.4375,0.3125,0.0,0.0,0.0
1664371695299,-0.9511719,0.2939453,-0.15039062,0.03125,0.375,0.5625,0.0,0.0,0.0
1664371695328,-0.95410156,0.3046875,-0.15039062,0.03125,0.25,0.3125,0.0,0.0,0.0
1664371695363,-0.9550781,0.30566406,-0.15527344,0.15625,0.25,-0.1875,0.0,0.0,0.0
1664371695418,-0.953125,0.3095703,-0.15332031,0.03125,0.09375,-0.125,0.0,0.0,0.0
1664371695448,-0.94628906,0.3046875,-0.14746094,-0.03125,0.15625,-0.1875,0.0,0.0,0.0
1664371695481,-0.9472656,0.30078125,-0.1484375,0.09375,0.09375,0.125,0.0,0.0,0.0
1664371695542,-0.9560547,0.30371094,-0.14257812,-0.03125,0.1875,0.0625,0.0,0.0,0.0
1664371695571,-0.95410156,0.29882812,-0.15234375,0.34375,-0.03125,-0.1875,-57.4375,24.8125,-148.125
1664371695601,-0.9560547,0.3076172,-0.14746094,-0.21875,0.3125,0.125,0.0,0.0,0.0
1664371695659,-0.9472656,0.29589844,-0.17480469,0.09375,0.3125,0.25,0.0,0.0,0.0
1664371695689,-0.95410156,0.29785156,-0.14550781,0.5625,-0.15625,-0.0625,0.0,0.0,0.0
